2026-06-04 10:21:18.969 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 10:21:19.370 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 10:26:19.370 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #50 ---
2026-06-04 10:26:19.374 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 10:26:19.376 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 10:26:19.787 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 10:31:19.788 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #51 ---
2026-06-04 10:31:19.790 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 10:31:19.795 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 10:31:20.198 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 10:36:20.199 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #52 ---
2026-06-04 10:36:20.200 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 10:36:20.201 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 10:36:20.604 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 10:41:20.604 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #53 ---
2026-06-04 10:41:20.606 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 10:41:20.608 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 10:41:20.998 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 10:46:20.998 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #54 ---
2026-06-04 10:46:21.003 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 10:46:21.006 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 10:46:21.396 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 10:51:21.396 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #55 ---
