2026-05-19 09:05:42.488 | WARNING  | agents.options_agent:_monitor_open_positions:228 - MONITOR: sin precio BTC para BTC-29MAY26-71000-P
2026-05-19 09:05:42.489 | WARNING  | agents.options_agent:_monitor_open_positions:228 - MONITOR: sin precio BTC para BTC-29MAY26-67000-P
2026-05-19 09:05:42.627 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_order_book]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_order_book?instrument_name=BTC-29MAY26-71000-P&depth=1
2026-05-19 09:05:42.756 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_order_book]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_order_book?instrument_name=BTC-29MAY26-67000-P&depth=1
2026-05-19 09:05:42.757 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P (no mark) | AY26-67000-P (no mark)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 09:05:42.757 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 09:10:42.758 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2608 ---
2026-05-19 09:10:42.761 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 09:10:42.887 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_index_price]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_index_price?index_name=btc_usd
2026-05-19 09:10:42.890 | WARNING  | agents.options_agent:_monitor_open_positions:228 - MONITOR: sin precio BTC para BTC-29MAY26-71000-P
2026-05-19 09:10:42.890 | WARNING  | agents.options_agent:_monitor_open_positions:228 - MONITOR: sin precio BTC para BTC-29MAY26-67000-P
2026-05-19 09:10:43.037 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_order_book]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_order_book?instrument_name=BTC-29MAY26-71000-P&depth=1
2026-05-19 09:10:43.181 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_order_book]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_order_book?instrument_name=BTC-29MAY26-67000-P&depth=1
2026-05-19 09:10:43.183 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P (no mark) | AY26-67000-P (no mark)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 09:10:43.184 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 09:15:43.184 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2609 ---
2026-05-19 09:15:43.187 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 09:15:43.333 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_index_price]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_index_price?index_name=btc_usd
2026-05-19 09:15:43.334 | WARNING  | agents.options_agent:_monitor_open_positions:228 - MONITOR: sin precio BTC para BTC-29MAY26-71000-P
2026-05-19 09:15:43.334 | WARNING  | agents.options_agent:_monitor_open_positions:228 - MONITOR: sin precio BTC para BTC-29MAY26-67000-P
2026-05-19 09:15:43.476 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_order_book]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_order_book?instrument_name=BTC-29MAY26-71000-P&depth=1
2026-05-19 09:15:43.614 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_order_book]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_order_book?instrument_name=BTC-29MAY26-67000-P&depth=1
2026-05-19 09:15:43.617 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P (no mark) | AY26-67000-P (no mark)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 09:15:43.618 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 09:20:43.619 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2610 ---
2026-05-19 09:20:43.624 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 09:20:43.764 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_index_price]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_index_price?index_name=btc_usd
2026-05-19 09:20:43.766 | WARNING  | agents.options_agent:_monitor_open_positions:228 - MONITOR: sin precio BTC para BTC-29MAY26-71000-P
2026-05-19 09:20:43.766 | WARNING  | agents.options_agent:_monitor_open_positions:228 - MONITOR: sin precio BTC para BTC-29MAY26-67000-P
2026-05-19 09:20:43.909 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_order_book]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_order_book?instrument_name=BTC-29MAY26-71000-P&depth=1
2026-05-19 09:20:44.044 | WARNING  | strategies.theta_farming:_deribit_get:501 - Deribit API call failed [get_order_book]: 503 Server Error: Service Unavailable for url: https://www.deribit.com/api/v2/public/get_order_book?instrument_name=BTC-29MAY26-67000-P&depth=1
2026-05-19 09:20:44.048 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P (no mark) | AY26-67000-P (no mark)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
